testname,algorithm,n,maxvalue,time_s,success
few_numbers_many_values,intro,10,1000000000,8.074e-06,1
few_numbers_many_values,merge,10,1000000000,1.475e-06,1
few_numbers_many_values,quickSortHalfPivot,10,1000000000,4.1e-07,1
few_numbers_many_values,quickSortMedianPivot,10,1000000000,4.56e-07,1
few_numbers_many_values,quickSortRandomPivot,10,1000000000,1.053e-06,1
few_numbers_many_values,radix10,10,1000000000,1.72e-06,1
few_numbers_many_values,radix16,10,1000000000,7.76e-07,1
few_numbers_many_values,radix65536,10,1000000000,0.000246575,1
few_numbers_many_values,shell,10,1000000000,2.87e-07,1
few_numbers_many_values,stl,10,1000000000,4.11e-07,1
few_numbers_many_values,ternaryQuickSort,10,1000000000,3.2e-07,1
few_numbers_many_values,tim,10,1000000000,3.06e-07,1
